Parameter,Start,End,Freq Lower Bound (mHz),Freq Upper Bound (mHz),FHB,PG5,GHB,PG4,SKT,STF,PG3,ATU,PG2,GDH,UMQ,PG1,PG0,UPN,KUV,SVS,THL,Arctic Maximum,Arctic Mean,Arctic Standard Deviation,Arctic Coefficient of Variation,Arctic Maximum GEOLON,Arctic Maximum GEOLAT,Arctic Maximum AACGMLON,Arctic Maximum AACGMLAT,Antarctic Maximum,Antarctic Mean,Antarctic Standard Deviation,Antarctic Coefficient of Variation,Antarctic Maximum GEOLON,Antarctic Maximum GEOLAT,Antarctic Maximum AACGMLON,Antarctic Maximum AACGMLAT
Bz,2015-04-02 18:55:00,2015-04-02 20:25:00,2.5,3,27738.70796355231,Error,60428.02604620017,4.197332104986077,145339.21920743972,95945.1490147807,0.16948884401736755,938007.6521687128,0.09384150739475629,628022.8165193205,318712.2578423975,0.10694766556006227,0.055121642794073465,Error,30474.61046823564,44146.87547869393,25280.1328713562,938007.6521687128,231409.54475806895,296413.80179908837,128.09056865350098,306.43,67.93,38.19,73.99,4.197332104986077,0.9245463529504674,1.6368063966887674,177.0388679232029,12.25,-83.34,36.39,-70.83
Bx,2015-04-02 19:00:26,2015-04-02 20:30:26,2.5,3,355214.9427972757,Error,232259.6097908357,2.1518994016943966,176216.1414173209,226651.6802657642,0.4534818699392019,226373.8072093422,0.3557861880810095,343266.73139707034,246014.66660049875,0.2934294690079863,0.24092621535516287,Error,120216.45399782644,96904.994995829,91268.5472317823,355214.9427972757,211438.75757035456,87894.65273769706,41.569792476883435,310.32,62.0,39.05,67.41,2.1518994016943966,0.6991046288155516,0.7298370417259588,104.39596759107077,12.25,-83.34,36.39,-70.83
By,2015-04-02 19:00:26,2015-04-02 20:30:26,2.5,3,31045.193719586423,Error,60115.82754076133,1.1235459037861024,103283.2150799884,90257.4517329512,0.3393634702177384,221777.39795183967,0.326736692243652,198980.409768393,200859.42587967194,0.3487703148505803,0.27647545296642384,Error,169153.1021333942,107480.72764336965,136978.99016111667,221777.39795183967,131993.17416110725,61008.70088241032,46.221102924568484,306.43,67.93,38.19,73.99,1.1235459037861024,0.4829783668128994,0.3212533963894429,66.51506950701437,12.25,-83.34,36.39,-70.83
Bz,2015-04-02 19:00:26,2015-04-02 20:30:26,2.5,3,13603.952510818406,Error,94102.0211170328,5.4703213613651736,209674.8071664502,137364.9869829248,0.15117251451106323,946699.1920681498,0.08846818558035104,437405.34786827693,201946.0543194157,0.09565456805233122,0.051694071846259126,Error,18334.133534521152,38983.58772347016,28792.738628782903,946699.1920681498,212690.68219198426,273957.94371068245,128.80580422577964,306.43,67.93,38.19,73.99,5.4703213613651736,1.1714621402710355,2.149665085013149,183.50273654731956,12.25,-83.34,36.39,-70.83
Bx,2015-04-02 19:01:33,2015-04-02 20:31:33,2.5,3,349975.0565110618,Error,223898.84202566987,2.0606432078824395,161471.4402377244,206702.51796378836,0.400050430344491,209574.0676859781,0.3412901395064483,325042.9279577119,229419.97642802636,0.299795092473379,0.2437475021398584,Error,123363.61116624251,95611.91143755014,90210.32556632649,349975.0565110618,201527.06769800797,83657.89854478947,41.51199116842824,310.32,62.0,39.05,67.41,2.0606432078824395,0.6691052744693232,0.6976460903627818,104.26551949035145,12.25,-83.34,36.39,-70.83
By,2015-04-02 19:01:33,2015-04-02 20:31:33,2.5,3,32663.505498845527,Error,64930.70923509046,1.0445416807499908,110084.82874190563,92860.1741910027,0.33524158013485,220772.50478296977,0.3329910496887135,196402.1778334223,191007.23685631793,0.3773389994011757,0.3066199925224383,Error,161924.27686532587,107546.56606811953,140926.267498853,220772.50478296977,131911.82475718527,57845.75610653215,43.851835279370036,306.43,67.93,38.19,73.99,1.0445416807499908,0.4793466604994337,0.28350369121824925,59.1437710075763,12.25,-83.34,36.39,-70.83
Bz,2015-04-02 19:01:33,2015-04-02 20:31:33,2.5,3,11566.674829772186,Error,97604.62213875286,4.204950702896826,212722.3485400264,139411.9385219139,0.14799952998923702,909136.2584146709,0.0920895000776985,387757.52206600347,180095.8543985899,0.10135019123574289,0.05180876486117783,Error,17223.127794136133,37979.69393773104,29361.33325149599,909136.2584146709,202285.9373893093,260205.93036536433,128.63273330987172,306.43,67.93,38.19,73.99,4.204950702896826,0.9196397378121366,1.642940322912442,178.65042748381765,12.25,-83.34,36.39,-70.83
Bx,2015-04-02 19:10:53,2015-04-02 20:40:53,2.5,3,151685.12430259187,Error,105169.45544936799,15.683175856584578,38387.97223049283,87150.86189024437,0.4290776448916013,89989.03127529022,0.28672693555309386,121200.45844063148,64327.07361226456,0.27878968230861917,0.2442533434877842,Error,147402.52717274806,82823.32421148513,70732.71737246538,151685.12430259187,95886.85459575818,34221.17213737546,35.68911743079466,310.32,62.0,39.05,67.41,15.683175856584578,3.3844046925651354,6.1497110936523995,181.7073208520864,12.25,-83.34,36.39,-70.83
By,2015-04-02 19:10:53,2015-04-02 20:40:53,2.5,3,39847.57522611233,Error,76155.47429664254,8.30874540031548,125534.58792296733,68335.0538289707,0.47655183746852764,153194.13385212288,0.39321028642743233,145984.1037636625,99980.42334451451,0.45408038836209247,0.40558490594825547,Error,150624.1123150137,113616.72840714944,167002.67657629502,167002.67657629502,114027.4869533451,40069.4203519325,35.14014157685252,290.77,77.47,29.24,84.72,8.30874540031548,2.0076345637043578,3.1507037791114803,156.93611955444743,12.25,-83.34,36.39,-70.83
Bz,2015-04-02 19:10:53,2015-04-02 20:40:53,2.5,3,18160.292531930903,Error,73354.29195046304,5.304116218395587,103972.66315937144,78564.83545561018,0.13241194113644383,448726.09969001927,0.1243083420223194,139525.22015665326,105231.77336245986,0.08411029214693508,0.037962569050444664,Error,29489.852417696944,48185.5400261413,40400.6485451147,448726.09969001927,108561.12172954608,118978.17476710891,109.5955650343356,306.43,67.93,38.19,73.99,5.304116218395587,1.1365818725503458,2.0840373450177254,183.3600724549134,12.25,-83.34,36.39,-70.83
